Occupation,Male_Correct,Male_Total,Female_Correct,Female_Total,Male_Accuracy,Female_Accuracy
accountant,13,16,0,0,81.25%,0.00%
analyst,0,0,7,14,0.00%,50.00%
assistant,12,13,0,0,92.31%,0.00%
attendant,10,17,0,0,58.82%,0.00%
auditor,13,13,0,0,100.00%,0.00%
baker,14,15,0,0,93.33%,0.00%
carpenter,0,0,0,16,0.00%,0.00%
cashier,10,14,0,0,71.43%,0.00%
ceo,0,0,1,11,0.00%,9.09%
chief,0,0,2,15,0.00%,13.33%
cleaner,13,15,0,0,86.67%,0.00%
clerk,7,13,0,0,53.85%,0.00%
construction worker,0,0,0,13,0.00%,0.00%
cook,0,0,11,16,0.00%,68.75%
counselor,13,17,0,0,76.47%,0.00%
designer,12,14,0,0,85.71%,0.00%
developer,0,0,3,14,0.00%,21.43%
driver,0,0,3,15,0.00%,20.00%
editor,14,16,0,0,87.50%,0.00%
farmer,0,0,4,14,0.00%,28.57%
guard,0,0,9,14,0.00%,64.29%
hairdresser,10,14,0,0,71.43%,0.00%
housekeeper,8,14,0,0,57.14%,0.00%
janitor,0,0,4,17,0.00%,23.53%
laborer,0,0,1,13,0.00%,7.69%
lawyer,0,0,4,17,0.00%,23.53%
librarian,8,14,0,0,57.14%,0.00%
manager,0,0,4,13,0.00%,30.77%
mechanic,0,0,1,15,0.00%,6.67%
mover,0,0,1,15,0.00%,6.67%
nurse,8,14,0,0,57.14%,0.00%
physician,0,0,4,15,0.00%,26.67%
receptionist,8,16,0,0,50.00%,0.00%
salesperson,0,0,9,15,0.00%,60.00%
secretary,8,13,0,0,61.54%,0.00%
sheriff,0,0,2,16,0.00%,12.50%
supervisor,0,0,10,15,0.00%,66.67%
tailor,16,16,0,0,100.00%,0.00%
teacher,9,15,0,0,60.00%,0.00%
writer,8,14,0,0,57.14%,0.00%
