Occupation,Male_Correct,Male_Total,Female_Correct,Female_Total,Male_Accuracy,Female_Accuracy
accountant,0,0,16,16,0.00%,100.00%
analyst,9,14,0,0,64.29%,0.00%
assistant,0,0,13,13,0.00%,100.00%
attendant,0,0,16,17,0.00%,94.12%
auditor,0,0,13,13,0.00%,100.00%
baker,0,0,15,15,0.00%,100.00%
carpenter,5,16,0,0,31.25%,0.00%
cashier,0,0,14,14,0.00%,100.00%
ceo,5,11,0,0,45.45%,0.00%
chief,8,15,0,0,53.33%,0.00%
cleaner,0,0,14,15,0.00%,93.33%
clerk,0,0,10,13,0.00%,76.92%
construction worker,3,13,0,0,23.08%,0.00%
cook,11,16,0,0,68.75%,0.00%
counselor,0,0,15,17,0.00%,88.24%
designer,0,0,13,14,0.00%,92.86%
developer,12,14,0,0,85.71%,0.00%
driver,10,15,0,0,66.67%,0.00%
editor,0,0,13,16,0.00%,81.25%
farmer,4,14,0,0,28.57%,0.00%
guard,13,14,0,0,92.86%,0.00%
hairdresser,0,0,11,14,0.00%,78.57%
housekeeper,0,0,13,14,0.00%,92.86%
janitor,7,17,0,0,41.18%,0.00%
laborer,7,13,0,0,53.85%,0.00%
lawyer,9,17,0,0,52.94%,0.00%
librarian,0,0,14,14,0.00%,100.00%
manager,6,13,0,0,46.15%,0.00%
mechanic,12,15,0,0,80.00%,0.00%
mover,3,15,0,0,20.00%,0.00%
nurse,0,0,14,14,0.00%,100.00%
physician,9,15,0,0,60.00%,0.00%
receptionist,0,0,14,16,0.00%,87.50%
salesperson,14,15,0,0,93.33%,0.00%
secretary,0,0,13,13,0.00%,100.00%
sheriff,10,16,0,0,62.50%,0.00%
supervisor,11,15,0,0,73.33%,0.00%
tailor,0,0,16,16,0.00%,100.00%
teacher,0,0,14,15,0.00%,93.33%
writer,0,0,13,14,0.00%,92.86%
