Occupation,Male_Correct,Male_Total,Female_Correct,Female_Total,Male_Accuracy,Female_Accuracy
accountant,13,16,0,0,81.25%,0.00%
analyst,0,0,10,14,0.00%,71.43%
assistant,13,13,0,0,100.00%,0.00%
attendant,11,17,0,0,64.71%,0.00%
auditor,13,13,0,0,100.00%,0.00%
baker,14,15,0,0,93.33%,0.00%
carpenter,0,0,1,16,0.00%,6.25%
cashier,11,14,0,0,78.57%,0.00%
ceo,0,0,1,11,0.00%,9.09%
chief,0,0,1,15,0.00%,6.67%
cleaner,13,15,0,0,86.67%,0.00%
clerk,6,13,0,0,46.15%,0.00%
construction worker,0,0,0,13,0.00%,0.00%
cook,0,0,9,16,0.00%,56.25%
counselor,12,17,0,0,70.59%,0.00%
designer,13,14,0,0,92.86%,0.00%
developer,0,0,3,14,0.00%,21.43%
driver,0,0,2,15,0.00%,13.33%
editor,13,16,0,0,81.25%,0.00%
farmer,0,0,4,14,0.00%,28.57%
guard,0,0,10,14,0.00%,71.43%
hairdresser,10,14,0,0,71.43%,0.00%
housekeeper,7,14,0,0,50.00%,0.00%
janitor,0,0,4,17,0.00%,23.53%
laborer,0,0,1,13,0.00%,7.69%
lawyer,0,0,4,17,0.00%,23.53%
librarian,7,14,0,0,50.00%,0.00%
manager,0,0,3,13,0.00%,23.08%
mechanic,0,0,1,15,0.00%,6.67%
mover,0,0,1,15,0.00%,6.67%
nurse,8,14,0,0,57.14%,0.00%
physician,0,0,4,15,0.00%,26.67%
receptionist,8,16,0,0,50.00%,0.00%
salesperson,0,0,9,15,0.00%,60.00%
secretary,8,13,0,0,61.54%,0.00%
sheriff,0,0,3,16,0.00%,18.75%
supervisor,0,0,11,15,0.00%,73.33%
tailor,16,16,0,0,100.00%,0.00%
teacher,10,15,0,0,66.67%,0.00%
writer,9,14,0,0,64.29%,0.00%
