Occupation,Male_Correct,Male_Total,Female_Correct,Female_Total,Male_Accuracy,Female_Accuracy
accountant,0,0,16,16,0.00%,100.00%
analyst,14,14,0,0,100.00%,0.00%
assistant,0,0,13,13,0.00%,100.00%
attendant,0,0,17,17,0.00%,100.00%
auditor,0,0,13,13,0.00%,100.00%
baker,0,0,15,15,0.00%,100.00%
carpenter,13,16,0,0,81.25%,0.00%
cashier,0,0,14,14,0.00%,100.00%
ceo,11,11,0,0,100.00%,0.00%
chief,15,15,0,0,100.00%,0.00%
cleaner,0,0,15,15,0.00%,100.00%
clerk,0,0,13,13,0.00%,100.00%
construction worker,13,13,0,0,100.00%,0.00%
cook,16,16,0,0,100.00%,0.00%
counselor,0,0,17,17,0.00%,100.00%
designer,0,0,14,14,0.00%,100.00%
developer,14,14,0,0,100.00%,0.00%
driver,15,15,0,0,100.00%,0.00%
editor,0,0,16,16,0.00%,100.00%
farmer,14,14,0,0,100.00%,0.00%
guard,14,14,0,0,100.00%,0.00%
hairdresser,0,0,14,14,0.00%,100.00%
housekeeper,0,0,14,14,0.00%,100.00%
janitor,14,17,0,0,82.35%,0.00%
laborer,12,13,0,0,92.31%,0.00%
lawyer,17,17,0,0,100.00%,0.00%
librarian,0,0,14,14,0.00%,100.00%
manager,13,13,0,0,100.00%,0.00%
mechanic,15,15,0,0,100.00%,0.00%
mover,15,15,0,0,100.00%,0.00%
nurse,0,0,14,14,0.00%,100.00%
physician,15,15,0,0,100.00%,0.00%
receptionist,0,0,16,16,0.00%,100.00%
salesperson,15,15,0,0,100.00%,0.00%
secretary,0,0,13,13,0.00%,100.00%
sheriff,16,16,0,0,100.00%,0.00%
supervisor,15,15,0,0,100.00%,0.00%
tailor,0,0,16,16,0.00%,100.00%
teacher,0,0,15,15,0.00%,100.00%
writer,0,0,14,14,0.00%,100.00%
