Occupation,Male_Correct,Male_Total,Female_Correct,Female_Total,Male_Accuracy,Female_Accuracy
accountant,0,0,16,16,0.00%,100.00%
analyst,8,14,0,0,57.14%,0.00%
assistant,0,0,13,13,0.00%,100.00%
attendant,0,0,16,17,0.00%,94.12%
auditor,0,0,12,13,0.00%,92.31%
baker,0,0,14,15,0.00%,93.33%
carpenter,2,16,0,0,12.50%,0.00%
cashier,0,0,14,14,0.00%,100.00%
ceo,5,11,0,0,45.45%,0.00%
chief,8,15,0,0,53.33%,0.00%
cleaner,0,0,14,15,0.00%,93.33%
clerk,0,0,8,13,0.00%,61.54%
construction worker,3,13,0,0,23.08%,0.00%
cook,11,16,0,0,68.75%,0.00%
counselor,0,0,17,17,0.00%,100.00%
designer,0,0,13,14,0.00%,92.86%
developer,12,14,0,0,85.71%,0.00%
driver,9,15,0,0,60.00%,0.00%
editor,0,0,14,16,0.00%,87.50%
farmer,4,14,0,0,28.57%,0.00%
guard,11,14,0,0,78.57%,0.00%
hairdresser,0,0,11,14,0.00%,78.57%
housekeeper,0,0,13,14,0.00%,92.86%
janitor,5,17,0,0,29.41%,0.00%
laborer,5,13,0,0,38.46%,0.00%
lawyer,9,17,0,0,52.94%,0.00%
librarian,0,0,13,14,0.00%,92.86%
manager,7,13,0,0,53.85%,0.00%
mechanic,14,15,0,0,93.33%,0.00%
mover,4,15,0,0,26.67%,0.00%
nurse,0,0,14,14,0.00%,100.00%
physician,8,15,0,0,53.33%,0.00%
receptionist,0,0,14,16,0.00%,87.50%
salesperson,13,15,0,0,86.67%,0.00%
secretary,0,0,13,13,0.00%,100.00%
sheriff,9,16,0,0,56.25%,0.00%
supervisor,11,15,0,0,73.33%,0.00%
tailor,0,0,16,16,0.00%,100.00%
teacher,0,0,14,15,0.00%,93.33%
writer,0,0,13,14,0.00%,92.86%
