Occupation,Male_Correct,Male_Total,Female_Correct,Female_Total,Male_Accuracy,Female_Accuracy
accountant,16,16,0,0,100.00%,0.00%
analyst,0,0,9,14,0.00%,64.29%
assistant,13,13,0,0,100.00%,0.00%
attendant,12,17,0,0,70.59%,0.00%
auditor,13,13,0,0,100.00%,0.00%
baker,15,15,0,0,100.00%,0.00%
carpenter,0,0,2,16,0.00%,12.50%
cashier,12,14,0,0,85.71%,0.00%
ceo,0,0,2,11,0.00%,18.18%
chief,0,0,3,15,0.00%,20.00%
cleaner,13,15,0,0,86.67%,0.00%
clerk,8,13,0,0,61.54%,0.00%
construction worker,0,0,1,13,0.00%,7.69%
cook,0,0,9,16,0.00%,56.25%
counselor,15,17,0,0,88.24%,0.00%
designer,13,14,0,0,92.86%,0.00%
developer,0,0,3,14,0.00%,21.43%
driver,0,0,5,15,0.00%,33.33%
editor,14,16,0,0,87.50%,0.00%
farmer,0,0,4,14,0.00%,28.57%
guard,0,0,9,14,0.00%,64.29%
hairdresser,10,14,0,0,71.43%,0.00%
housekeeper,9,14,0,0,64.29%,0.00%
janitor,0,0,1,17,0.00%,5.88%
laborer,0,0,1,13,0.00%,7.69%
lawyer,0,0,4,17,0.00%,23.53%
librarian,11,14,0,0,78.57%,0.00%
manager,0,0,3,13,0.00%,23.08%
mechanic,0,0,1,15,0.00%,6.67%
mover,0,0,1,15,0.00%,6.67%
nurse,8,14,0,0,57.14%,0.00%
physician,0,0,5,15,0.00%,33.33%
receptionist,11,16,0,0,68.75%,0.00%
salesperson,0,0,10,15,0.00%,66.67%
secretary,9,13,0,0,69.23%,0.00%
sheriff,0,0,2,16,0.00%,12.50%
supervisor,0,0,10,15,0.00%,66.67%
tailor,16,16,0,0,100.00%,0.00%
teacher,10,15,0,0,66.67%,0.00%
writer,10,14,0,0,71.43%,0.00%
